Query	Hit	E-value	Coverage (%)	Identity (%)
AT1G16280.1	SPBC543.06c	2.58815e-112	81	16
AT1G73180.1	SPBC4B4.04	2.66855e-87	84	12
AT1G76120.1	SPCC126.03	1.32368e-55	90	11
AT1G07360.1	SPCC550.02c	7.64795e-48	62	11
AT1G14610.1	SPBC1709.02c	0.0	75	17
AT1G77680.1	SPAC2C4.07c	3.20852e-105	76	10
AT1G17260.1	SPCC1020.01c	4.85775e-135	79	13
AT1G13180.1	SPAC630.03	3.25737e-155	96	19
AT1G07420.1	SPAC630.08c	2.62732e-60	95	13
AT1G13160.1	SPBC106.14c	2.07936e-39	52	10
AT1G07400.1	SPBC3E7.02c	1.3382e-09	87	12
AT1G13330.1	SPAC222.15	4.08333e-13	89	10
AT1G75990.1	SPBC119.01	6.03178e-103	99	13
AT1G47830.1	SPBC685.04c	1.78918e-60	99	19
AT1G16350.1	SPBC2F12.14c	1.9383e-132	99	14
AT1G76030.1	SPAC637.05c	0.0	97	25
AT1G16300.1	SPBC32F12.11	6.20208e-165	78	24
AT1G63800.1	SPBC211.07c	2.7994e-76	79	21
AT1G63780.1	SPAC19A8.07c	4.77584e-91	99	15
AT1G17160.1	SPBC16G5.02c	1.75414e-19	77	10
AT1G63660.1	SPAP7G5.02c	8.19237e-177	98	17
AT1G72050.2	SPAC144.09c	3.21067e-20	70	9
AT1G07510.1	SPBC543.09	0.0	74	17
AT1G17130.1	SPAC9.13c	1.1106e-59	62	16
AT1G49400.1	SPBC409.14c	1.29956e-09	67	10
AT1G14810.1	SPCC1827.06c	4.30546e-15	81	10
AT1G14790.1	SPAC6F12.09	1.67331e-97	57	11
AT1G62740.1	SPCC645.14c	1.11143e-78	56	13
AT1G31910.1	SPAC343.01c	1.98554e-24	96	10
AT1G77590.1	SPBC18H10.02	4.89097e-122	93	11
AT1G17340.1	SPAC1093.03	1.07039e-91	72	12
AT1G12840.1	SPAPB2B4.05	1.53445e-54	98	10
AT1G55880.1	SPAC3A12.17c	1.73833e-112	87	16
AT1G09300.1	SPAC12B10.05	2.26738e-92	88	12
AT1G09330.1	SPBC2A9.05c	3.2917e-30	71	15
AT1G16030.1	SPCC1739.13	0.0	94	24
AT1G16190.1	SPBC2D10.12	1.65013e-53	99	12
AT1G55870.1	SPBC29A10.09c	6.79845e-16	61	8
AT1G77670.1	SPAC6B12.04c	6.13989e-73	80	12
AT1G49540.1	SPCC895.06	1.95356e-98	97	10
AT1G12920.1	SPAC1834.01	0.0	99	21
AT1G62750.1	SPBC1306.01c	0.0	86	15
AT1G09150.1	SPBC31F10.12	2.98181e-57	96	16
AT1G73320.1	SPAC23C4.06c	2.67781e-13	60	9
AT1G59820.1	SPBC887.12	0.0	91	14
AT1G05520.1	SPCC31H12.07	0.0	98	15
AT1G53030.1	SPBC26H8.14c	5.89176e-11	98	13
AT1G60900.1	SPBC146.07	2.29646e-29	57	8
AT1G59760.1	SPAC6F12.16c	0.0	95	17
AT1G67550.1	SPAC1952.11c	0.0	99	19
AT1G07270.1	SPBC14C8.07c	1.05551e-46	76	10
AT1G11390.1	SPBC21C3.03	7.22934e-70	75	11
AT1G60810.1	SPAC22A12.16	5.29331e-93	97	14
AT1G03475.1	SPAC222.11	9.70823e-110	79	16
AT1G23290.1	SPCC5E4.07	1.55404e-58	99	20
AT1G23280.1	SPAC222.06	5.56894e-76	62	18
AT1G61000.1	SPAC27F1.04c	3.72121e-09	97	7
AT1G29850.1	SPAC23C4.09c	5.12338e-22	97	14
AT1G03150.1	SPCC16C4.12	1.42656e-56	90	18
AT1G67490.1	SPAC6G10.09	3.47979e-104	87	12
AT1G03330.1	SPCC1620.01c	1.00226e-37	94	21
AT1G56450.1	SPBC577.10	1.37621e-61	85	14
AT1G03360.1	SPAC2F7.14c	1.04935e-62	74	14
AT1G60970.1	SPCC576.07	1.9786e-24	96	12
AT1G59900.1	SPAC26F1.03	7.12461e-126	87	18
AT1G29330.1	SPBP8B7.22	1.76974e-58	99	15
AT1G62020.1	SPBPJ4664.04	0.0	67	17
AT1G04290.1	SPBC31F10.02	7.24254e-17	66	12
AT1G07110.1	SPAC732.02c	1.32942e-85	53	12
AT1G61950.1	SPACUNK12.02c	2.68962e-60	52	13
AT1G48050.1	SPBC543.03c	1.24972e-27	92	8
AT1G63160.1	SPAC1687.03c	3.33048e-148	93	20
AT1G60620.1	SPBC1289.07c	4.33458e-85	90	14
AT1G07030.1	SPAC8C9.12c	1.46993e-51	89	12
AT1G60680.1	SPAC1F7.12	1.54154e-88	92	15
AT1G63210.1	SPAC1F7.01c	8.91985e-103	95	9
AT1G29260.1	SPAC17D4.01	2.26679e-52	97	10
AT1G60780.1	SPBP16F5.07	1.10344e-180	98	18
AT1G63440.1	SPBC29A3.01	0.0	86	13
AT1G22740.1	SPBC405.04c	6.70302e-91	99	21
AT1G53720.1	SPBC17G9.05	9.46644e-98	63	17
AT1G60070.1	SPCP1E11.06	2.38931e-160	98	12
AT1G27310.1	SPAC15F9.03c	2.85234e-47	97	18
AT1G60080.1	SPBC17D1.03c	6.53591e-40	89	10
AT1G53750.1	SPBC16C6.07c	0.0	98	24
AT1G60750.1	SPAC1F7.12	3.29472e-86	92	15
AT1G60740.1	SPCC330.06c	6.49197e-25	97	12
AT1G50670.1	SPAC24C9.14	1.54236e-46	98	13
AT1G80190.1	SPBP23A10.09	7.6161e-16	64	11
AT1G54320.1	SPBC1773.11c	4.37668e-61	91	13
AT1G54250.1	SPBC14C8.12	1.18688e-22	97	11
AT1G26520.1	SPBC15D4.05	1.02104e-63	83	13
AT1G77140.1	SPAC2G11.03c	1.90049e-129	97	12
AT1G34150.1	SPAC25B8.05	8.90017e-69	79	13
AT1G34140.1	SPAC57A7.04c	1.29977e-95	93	15
AT1G80070.1	SPAC4F8.12c	0.0	97	24
AT1G28490.1	SPBC36B7.07	3.45738e-08	81	8
AT1G34130.1	SPBC1271.02	0.0	93	16
AT1G32210.1	SPAC6F6.05	4.81707e-17	80	13
AT1G23800.1	SPAC9E9.09c	9.32454e-177	90	17
AT1G09870.1	SPBC428.03c	6.11813e-23	82	8
AT1G31970.1	SPBC17D1.06	6.94651e-129	76	16
AT1G28510.1	SPBC1703.11	3.12956e-14	81	14
AT1G79610.1	SPAC15A10.06	2.42195e-52	66	12
AT1G09830.1	SPBC405.01	1.68438e-100	81	14
AT1G34065.1	SPAC12B10.09	1.90076e-45	74	13
AT1G09932.1	SPAC5H10.03	1.94923e-10	80	8
AT1G80230.1	SPAC1296.02	7.10372e-09	62	11
AT1G56110.1	SPBC646.10c	0.0	82	20
AT1G66080.1	SPBC21H7.06c	1.07738e-11	82	9
AT1G23740.1	SPBC16A3.02c	7.00228e-24	78	11
AT1G29965.1	SPAC26A3.04	2.77824e-56	96	16
AT1G29940.1	SPBP23A10.07	0.0	97	14
AT1G32340.1	SPAC1002.14	3.91182e-35	59	9
AT1G79150.1	SPBC887.03c	1.20431e-32	64	9
AT1G29900.1	SPAC22G7.06c	0.0	91	13
AT1G26830.1	SPAC24H6.03	1.01828e-150	96	13
AT1G29880.1	SPAC3F10.03	0.0	81	16
AT1G20610.1	SPBC582.03	1.70453e-57	60	12
AT1G20630.1	SPCC757.07c	3.77692e-127	79	15
AT1G56590.1	SPAC31A2.09c	5.81634e-48	99	10
AT1G54210.1	SPAC1783.06c	9.27545e-20	82	14
AT1G57600.1	SPAC24H6.01c	9.08716e-90	91	12
AT1G32220.1	SPCC1840.09	2.7624e-15	78	10
AT1G11100.1	SPAC17A2.12	1.64361e-99	57	12
AT1G54140.1	SPAC12G12.05c	6.07754e-28	62	14
AT1G03030.1	SPAC227.14	9.58373e-39	77	11
AT1G30000.1	SPAC2E1P5.01c	6.05669e-123	78	15
AT1G77030.1	SPAC31A2.07c	4.90662e-140	79	14
AT1G56070.1	SPCP31B10.07	0.0	99	21
AT1G26690.1	SPAC23H4.03c	8.03946e-10	94	8
AT1G79890.1	SPAC3G6.11	2.75908e-131	97	10
AT1G26670.1	SPBC3B9.10	1.36132e-17	68	11
AT1G63810.1	SPBC776.08c	1.01368e-72	80	9
AT1G27970.1	SPAC15F9.03c	1.14454e-41	96	16
AT1G44900.1	SPBC4.04c	0.0	68	19
AT1G55090.1	SPCC553.02	0.0	94	18
AT1G09020.1	SPAC1556.08c	1.96929e-26	68	8
AT1G09030.1	SPAC23C11.08	2.23737e-37	77	18
AT1G51720.1	SPCC622.12c	1.63017e-96	67	13
AT1G65290.1	SPAC4H3.09	5.19142e-26	58	19
AT1G31220.1	SPCC569.08c	2.4753e-14	65	9
AT1G18340.1	SPBC30B4.07c	1.14683e-36	85	11
AT1G04945.1	SPCC613.07	6.74418e-17	61	9
AT1G08780.1	SPAC227.05	1.6741e-07	90	10
AT1G55805.1	SPBC16E9.06c	3.4966e-21	54	16
AT1G65030.1	SPCC16C4.08c	6.47728e-15	97	8
AT1G17530.1	SPCC16A11.09c	7.85454e-11	67	10
AT1G04900.1	SPAC25A8.03c	2.04292e-12	74	8
AT1G77940.1	SPAC9G1.03c	8.55013e-51	93	22
AT1G28060.1	SPAC29E6.02	4.44829e-34	50	11
AT1G25260.1	SPBC11G11.03	1.70597e-47	88	12
AT1G21720.1	SPCC63.12c	3.92303e-90	99	18
AT1G02130.1	SPBC1703.10	1.90491e-109	98	24
AT1G04635.1	SPCC830.09c	3.01057e-21	84	11
AT1G02140.1	SPBC3B9.08c	7.45163e-68	95	20
AT1G10520.1	SPAC2F7.06c	2.33266e-28	58	9
AT1G51390.1	SPBC1709.19c	1.92285e-65	70	16
AT1G21760.1	SPCC1827.08c	7.72684e-15	55	10
AT1G25350.1	SPBC342.02	2.06295e-171	97	14
AT1G01760.1	SPBC16A3.06	7.75468e-15	85	8
AT1G24510.1	SPAC1420.02c	0.0	97	21
AT1G10630.1	SPBC4F6.18c	5.54616e-119	98	28
AT1G01960.1	SPAC30.01c	0.0	90	10
AT1G31340.1	SPBC337.08c	3.52701e-75	99	25
AT1G78010.1	SPAC222.05c	4.20703e-41	57	10
AT1G21700.1	SPAC23H3.10	4.71771e-44	57	9
AT1G01930.1	SPCC1827.04	4.17337e-30	72	10
AT1G10580.1	SPBC6B1.10	6.10982e-122	58	16
AT1G55150.1	SPBP8B7.16c	0.0	85	21
AT1G21690.1	SPAC23D3.02	1.42528e-111	94	16
AT1G80930.1	SPBC13E7.01	6.88544e-180	57	18
AT1G04690.1	SPCC965.06	1.23078e-106	96	16
AT1G79440.1	SPAC1002.12c	2.33699e-158	95	16
AT1G61700.1	SPAC1B3.12c	3.48205e-35	94	24
AT1G13690.1	SPBC428.12c	1.54391e-14	57	13
AT1G47250.1	SPAC6G10.04c	1.59903e-84	84	16
AT1G61570.1	SPAC17C9.09c	3.88319e-10	69	15
AT1G13700.1	SPCC16C4.10	3.62727e-41	87	12
AT1G05190.1	SPAC12G12.08	4.13319e-31	81	10
AT1G18800.1	SPBC2D10.11c	1.45581e-13	63	10
AT1G69520.1	SPBC3B9.04	1.24029e-08	62	8
AT1G69670.1	SPAC24H6.03	2.04272e-150	96	13
AT1G69680.1	SPCC1840.01c	4.86565e-14	69	10
AT1G13870.1	SPAC30.02c	5.98305e-40	98	11
AT1G08190.1	SPAP27G11.05c	1.64864e-120	81	9
AT1G13950.1	SPAC26H5.10c	1.33708e-62	96	19
AT1G47290.1	SPBC3F6.02c	1.95316e-59	89	11
AT1G64550.1	SPBC29A3.09c	3.40039e-168	89	14
AT1G64520.1	SPBC16G5.01	2.59414e-30	92	12
AT1G69620.1	SPAC23A1.08c	1.0211e-29	79	17
AT1G18720.1	SPAC16E8.02	8.66964e-28	88	11
AT1G18480.1	SPCC1840.07c	4.17131e-25	79	9
AT1G45332.1	SPBC1306.01c	0.0	91	20
AT1G18500.1	SPBC1105.02c	1.41433e-37	62	9
AT1G05055.1	SPCC1682.07	5.00327e-91	88	13
AT1G18440.1	SPBC2D10.15c	6.13279e-20	58	11
AT1G18450.1	SPBC32H8.12c	1.47868e-94	98	12
AT1G27400.1	SPBC2F12.04	6.78077e-58	82	20
AT1G64780.1	SPCPB1C11.01	1.52879e-35	84	9
AT1G08490.1	SPBC21D10.11c	7.55746e-25	85	8
AT1G18690.1	SPBC1289.13c	7.64299e-11	51	9
AT1G18600.1	SPBC13E7.11	2.72733e-12	79	9
AT1G54870.1	SPAC4H3.08	2.04863e-81	82	15
AT1G05120.1	SPCC330.01c	5.188e-153	58	15
AT1G64790.1	SPAC18G6.05c	0.0	73	11
AT1G16980.1	SPAC328.03	1.27151e-156	57	16
AT1G75510.1	SPBC1198.13c	6.79935e-23	96	10
AT1G16970.1	SPCC126.02c	4.11266e-45	95	8
AT1G19340.1	SPAC22G7.07c	5.75473e-27	54	10
AT1G22940.1	SPBP8B7.18c	8.58397e-58	81	11
AT1G22170.1	SPAC26F1.06	3.75334e-56	67	14
AT1G08130.1	SPAC20G8.01	0.0	75	16
AT1G22200.1	SPAC24B11.08c	6.91255e-71	95	12
AT1G50010.1	SPBC800.05c	0.0	95	24
AT1G30420.1	SPAC3F10.11c	0.0	86	12
AT1G75330.1	SPAC4G9.10	1.40736e-66	80	13
AT1G72550.1	SPAC23A1.12c	1.05799e-175	99	15
AT1G19120.1	SPBC3D6.08c	2.37617e-30	88	16
AT1G78720.1	SPBC354.02c	1.58651e-173	97	18
AT1G14300.1	SPAC26F1.12c	1.66691e-07	73	8
AT1G14290.1	SPBC887.15c	1.29686e-75	86	16
AT1G14340.1	SPAC10F6.06	9.88587e-12	75	9
AT1G14360.1	SPBC839.11c	1.91984e-39	98	11
AT1G78800.1	SPBC11B10.01	2.29742e-88	83	15
AT1G77840.1	SPAC2F7.05c	6.80474e-39	66	12
AT1G70310.1	SPBC12C2.07c	1.86516e-104	84	17
AT1G78770.1	SPAC6F12.15c	4.62249e-86	94	11
AT1G07670.1	SPBC31E1.02c	4.9558e-146	94	10
AT1G50030.1	SPBC216.07c	0.0	97	14
AT1G72340.1	SPCC11E10.07c	2.38037e-62	69	15
AT1G72330.1	SPBC582.08	2.59953e-143	87	15
AT1G16590.1	SPBC12D12.09	9.82242e-11	90	9
AT1G52980.1	SPAC6F6.03c	5.09338e-147	75	17
AT1G16570.1	SPAC23C4.14	1.28303e-83	96	13
AT1G69370.1	SPAC16E8.04c	1.64504e-56	78	14
AT1G72280.1	SPCC1450.14c	5.1461e-58	86	12
AT1G07830.1	SPCC4G3.06c	9.27472e-15	62	14
AT1G25682.1	SPBC18H10.10c	1.32899e-30	56	11
AT1G21900.1	SPCC24B10.17	3.17295e-16	82	8
AT1G80600.1	SPCC777.09c	5.7595e-102	86	13
AT1G26170.1	SPAC22H10.03c	5.14701e-43	92	8
AT1G48850.1	SPCC1223.14	3.59343e-121	82	18
AT1G80560.1	SPBC1A4.02c	2.29821e-91	80	16
AT1G24360.1	SPAC8E11.10	5.9148e-20	65	11
AT1G31660.1	SPBC13G1.09	3.12702e-92	57	17
AT1G10490.1	SPAC20G8.09c	0.0	99	16
AT1G78190.1	SPAC31A2.02	3.82422e-21	99	12
AT1G80690.1	SPAPYUG7.06	1.02574e-34	60	15
AT1G24290.1	SPAC26H5.02c	2.62056e-121	80	15
AT1G21840.1	SPAC29A4.13	1.74821e-13	89	9
AT1G10430.1	SPBC16H5.07c	0.0	98	26
AT1G80670.1	SPBC16A3.05c	2.82561e-107	98	15
AT1G01630.1	SPAC3H8.10	2.12281e-18	78	10
AT1G30825.1	SPAC6F6.10c	2.09091e-31	73	11
AT1G26340.1	SPCC16A11.10c	2.60178e-26	77	14
AT1G72710.1	SPBC3H7.15	7.73293e-160	62	24
AT1G01140.2	SPCC74.03c	2.39851e-77	58	14
AT1G58440.1	SPBC713.12	3.67114e-100	81	13
AT1G30640.1	SPAC821.12	1.81142e-145	78	15
AT1G72730.1	SPAC1006.07	0.0	91	23
AT1G26480.1	SPAC8E11.02c	4.03394e-132	97	23
AT1G30580.1	SPAC27E2.03c	6.55506e-125	97	17
AT1G64480.1	SPCC830.06	1.93242e-22	78	11
AT1G16900.1	SPAC1834.05	1.54401e-84	91	12
AT1G52300.1	SPAPB17E12.05	1.80386e-37	95	21
AT1G10170.1	SPCC18.03	2.23049e-119	75	10
AT1G49980.1	SPCC553.07c	2.02473e-85	62	12
AT1G26200.1	SPBC3E7.15c	2.43441e-18	84	9
AT1G30820.1	SPAC10F6.03c	0.0	86	19
AT1G52360.1	SPBC16C6.13c	0.0	85	15
AT1G80500.1	SPBC11G11.04	1.14556e-44	97	15
AT1G02680.1	SPCC1494.02c	5.99987e-23	74	13
AT1G76860.1	SPBC9B6.05c	7.92512e-28	90	18
AT1G48420.1	SPAC922.03	1.0952e-34	77	11
AT1G22660.1	SPCC645.10	6.21832e-71	84	10
AT1G74050.1	SPCC622.18	6.20007e-47	83	16
AT1G35350.1	SPCC1827.07c	4.43726e-37	98	7
AT1G67730.1	SPAC4G9.15	1.13864e-45	92	11
AT1G48430.1	SPAC977.16c	2.70199e-87	95	11
AT1G04130.1	SPAC17A2.04c	9.62048e-24	67	11
AT1G20000.1	SPAC1002.04c	4.56339e-20	50	14
AT1G15440.1	SPBC713.04c	0.0	99	14
AT1G15130.1	SPAC17G6.05c	9.63335e-16	82	8
AT1G11680.1	SPAC13A11.02c	9.89888e-83	92	11
AT1G71270.1	SPBC336.11	2.75568e-34	67	8
AT1G18010.1	SPAC922.05c	1.59575e-81	92	13
AT1G19920.1	SPBC27.08c	2.26392e-46	78	10
AT1G03980.1	SPAC3H1.10	4.54613e-71	58	13
AT1G71840.1	SPAC25H1.08c	3.9878e-54	82	10
AT1G17760.1	SPAC6F12.17	2.09191e-84	82	9
AT1G67960.1	SPBC13G1.05	3.17357e-38	51	12
AT1G12350.1	SPCC4B3.18	1.30729e-66	82	15
AT1G62430.1	SPBC13A2.03	1.21413e-104	94	14
AT1G17745.1	SPCC364.07	8.23641e-41	51	12
AT1G11790.1	SPBC30D10.16	2.11941e-22	58	11
AT1G11660.1	SPAC110.04c	1.03534e-158	89	13
AT1G71230.1	SPAC1687.13c	1.69888e-81	66	16
AT1G12470.1	SPCC790.02	2.39953e-66	60	9
AT1G48410.1	SPCC736.11	7.61059e-146	82	11
AT1G55920.1	SPAC1039.08	6.15209e-59	75	13
AT1G11780.1	SPBC13G1.04c	1.04923e-33	95	9
AT1G48260.1	SPCC74.03c	8.42337e-71	61	13
AT1G17880.1	SPAC4F10.14c	6.25584e-20	69	12
AT1G71340.1	SPAC4D7.02c	3.53403e-12	73	9
AT1G50200.1	SPAC23C11.09	0.0	90	16
AT1G71090.1	SPAC5D6.04	8.57455e-11	88	8
AT1G68560.1	SPAPB24D3.10c	1.29577e-161	93	12
AT1G60170.1	SPBC119.13c	1.17349e-80	89	13
AT1G76690.1	SPAC5H10.04	6.95627e-67	94	13
AT1G04080.1	SPBC4B4.09	1.69907e-69	60	10
AT1G05890.1	SPAC328.02	1.87459e-77	87	10
AT1G11890.1	SPBC2A9.08c	1.38714e-56	96	14
AT1G60140.1	SPAC19G12.15c	1.7382e-114	80	11
AT1G11880.1	SPAC18B11.05	3.57412e-20	50	8
AT1G20370.1	SPCC126.03	5.81374e-57	78	11
AT1G50500.1	SPAC3A12.15	1.10739e-63	87	8
AT1G66740.1	SPCC663.05c	5.51121e-53	77	18
AT1G12230.1	SPCC1020.06c	1.92419e-43	68	11
AT1G50430.1	SPBC16G5.18	2.73778e-58	86	11
AT1G29150.1	SPAC23G3.11	3.28841e-119	97	16
AT1G76400.1	SPAC27F1.07	7.671e-36	64	9
AT1G60450.1	SPBC4C3.08	3.38359e-13	90	9
AT1G32850.1	SPCC16A11.12c	3.9094e-95	89	11
AT1G50480.1	SPBC839.16	0.0	98	20
AT1G66680.1	SPBC839.14c	1.87385e-31	73	11
AT1G20010.1	SPBC26H8.07c	0.0	95	24
AT1G76970.1	SPAC1F3.05	5.30941e-15	59	9
AT1G12360.1	SPCC584.05	1.11651e-41	91	8
AT1G53530.1	SPBC2D10.07c	5.95368e-32	84	13
AT1G71410.1	SPBP23A10.10	1.15777e-53	63	9
AT1G35630.1	SPAC57A7.09	1.1191e-16	65	9
AT1G17690.1	SPCC1827.01c	1.49075e-103	60	13
AT1G74270.1	SPBC1921.01c	3.41663e-39	90	18
AT1G66580.1	SPAP7G5.05	2.37117e-101	94	22
AT1G66520.1	SPAC1805.09c	4.04571e-12	66	9
AT1G33140.1	SPCC613.06	4.16252e-58	93	16
AT1G60490.1	SPAC458.05	1.96733e-168	92	14
AT1G67630.1	SPCC553.09c	1.15292e-39	55	11
AT1G15080.1	SPBC409.18	5.84481e-34	70	12
AT1G67070.1	SPBC2G2.16	3.53541e-91	92	12
AT1G74030.1	SPBC1815.01	0.0	87	21
AT1G68100.1	SPAP8A3.03	2.68394e-18	65	9
AT1G17730.1	SPBC13G1.12	2.27766e-52	93	15
AT1G74310.1	SPBC16D10.08c	0.0	92	17
AT1G20575.1	SPAC31G5.16c	5.00133e-109	93	21
AT1G43670.1	SPBC1198.14c	5.82589e-108	96	16
AT1G76300.1	SPBC19C2.14	2.89511e-37	68	19
AT1G68000.1	SPAC1D4.08	2.49283e-44	98	12
AT1G63110.1	SPAC1952.01	1.68751e-22	84	8
AT1G04170.1	SPBC17G9.09	0.0	96	24
AT1G71790.1	SPAC631.01c	1.7595e-65	94	15
AT1G76540.1	SPBC11B10.09	2.44868e-112	94	17
AT1G66860.1	SPBPB2B2.05	3.0115e-20	51	9
AT1G18040.1	SPBC19F8.07	4.32568e-108	75	16
AT1G05810.1	SPAC18G6.03	8.58925e-71	69	19
AT1G74260.1	SPAC6F12.10c	0.0	87	12
AT1G74340.1	SPBC21B10.11	3.12813e-14	75	14
AT1G71440.1	SPAC22H10.10	1.28597e-07	57	8
AT1G66590.1	SPCC1672.04c	3.50775e-22	83	16
AT1G11870.1	SPAC25B8.06c	1.09429e-91	87	12
AT1G35470.2	SPCC1259.12c	2.03807e-38	80	9
AT1G10840.1	SPAC821.05	1.04719e-38	89	10
AT1G22660.2	SPCC645.10	1.3803e-69	84	10
AT1G02100.1	SPBP8B7.08c	1.3523e-52	89	10
AT1G48520.1	SPAC343.13	5.28864e-77	84	11
AT1G30450.2	SPBC18H10.16	1.71071e-65	76	9
AT1G14400.2	SPAC18B11.07c	8.84984e-81	98	23
AT1G17980.1	SPBC646.04	2.60982e-127	56	15
AT1G19140.1	SPAC19G12.11	3.60945e-20	63	9
AT1G13560.1	SPAC22A12.10	1.24868e-54	96	11
AT1G06960.2	SPBC4B4.07c	9.75589e-40	96	12
AT1G06470.2	SPAC22E12.01	4.62218e-38	80	11
AT1G48030.2	SPAC1002.09c	0.0	92	19
AT1G06790.1	SPBC2G5.07c	2.28125e-30	94	10
AT1G78870.2	SPAC11E3.04c	1.80453e-73	94	22
AT1G76680.1	SPAC5H10.04	1.47735e-66	95	13
AT1G21370.2	SPAC57A10.07	5.88143e-64	69	15
AT1G11930.2	SPAC644.09	2.62623e-56	88	14
AT1G03190.2	SPAC1D4.12	0.0	96	17
AT1G75670.2	SPBC3B9.07c	5.02812e-09	57	9
AT1G06220.1	SPBC215.12	0.0	98	17
AT1G18640.2	SPBC3H7.07c	6.93089e-14	56	11
AT1G17720.2	SPAC227.07c	1.85385e-172	96	17
AT1G28960.2	SPAC6G9.05	2.31313e-08	59	10
AT1G09270.2	SPBC1604.08c	0.0	93	17
AT1G14570.1	SPAC2C4.15c	4.28e-38	97	9
AT1G06390.2	SPAC1687.15	2.46815e-148	87	19
AT1G16560.3	SPAC823.07	1.11089e-46	89	11
AT1G08750.3	SPCC11E10.02c	3.19762e-108	68	18
AT1G04640.2	SPAC4F10.05c	9.12006e-36	83	13
AT1G04950.3	SPCC16C4.18c	2.4147e-99	60	15
AT1G18070.2	SPCC584.04	9.73369e-163	79	17
AT1G48760.3	SPAC144.06	2.45796e-93	74	11
AT1G51160.2	SPAC3G9.16c	2.90612e-22	85	12
AT1G57720.2	SPAC29A4.02c	1.45897e-43	99	10
AT1G61010.3	SPAC17G6.16c	0.0	96	15
AT1G65700.2	SPCC1840.10	2.70934e-25	92	14
AT1G66570.2	SPAC2F3.08	1.27783e-31	70	10
AT1G72660.3	SPBC354.01	9.59534e-169	91	20
AT1G73960.2	SPAC3A12.05c	1.71242e-70	61	9
AT1G75170.2	SPCC23B6.04c	2.6176e-33	72	11
AT1G78900.2	SPAC343.05	0.0	97	21
AT1G01920.2	SPBC1709.13c	2.58033e-16	64	8
AT1G08630.4	SPAC23H3.09c	1.34458e-54	92	13
AT1G54220.2	SPCC794.07	5.8058e-115	82	15
AT1G71860.3	SPAC11E3.09	1.55531e-33	73	11
AT1G72370.2	SPBC685.06	2.09619e-85	67	19
AT1G10865.1	SPBC16A3.16	1.4574e-10	91	14
AT1G02145.1	SPBC1734.12c	2.16276e-69	86	12
AT1G09840.6	SPAC1687.15	6.51412e-158	83	21
AT1G01910.4	SPAC1142.06	2.27905e-110	91	18
AT1G17280.2	SPAC10F6.05c	1.01273e-54	66	17
AT1G31170.2	SPBC106.02c	7.49711e-09	67	12
AT1G32410.5	SPAC630.11	2.7994e-16	79	12
AT1G48900.2	SPCC188.06c	9.17615e-135	97	17
AT1G53710.2	SPAC630.12	6.41743e-45	75	10
AT1G53850.2	SPAC323.02c	1.10197e-120	99	22
AT1G60430.2	SPBC1778.08c	3.20405e-45	96	14
AT1G61150.5	SPAC12B10.13	1.02984e-20	90	12
AT1G69740.2	SPAC1805.06c	8.7335e-59	70	12
AT1G79210.3	SPCC1442.06	5.20462e-101	97	21
AT1G79230.3	SPCC4B3.01	2.91185e-56	83	12
AT1G80380.3	SPAC630.09c	5.00358e-53	68	13
