Query	Hit	E-value	Coverage (%)	Identity (%)
SPAC2F7.10	AT2G14255.1 	1.27046e-45	86	27
SPAC2F7.11	AT4G34110.1 	5.73294e-09	60	24
SPAC2F7.13c	AT3G04600.3 	1.08751e-155	96	55
SPAC2F7.14c	AT1G03360.1 	5.53016e-62	72	43
SPAC2F7.17	AT2G47020.1 	3.44855e-61	78	38
SPAC13A11.02c	AT1G11680.1 	9.22757e-82	94	33
SPAC13A11.03	AT4G29170.1 	8.17833e-33	97	39
SPAC13A11.04c	AT5G10790.1 	4.27254e-63	89	37
SPAC13A11.05	AT2G24200.2 	9.92632e-54	60	39
SPAC13A11.06	AT5G01320.1 	4.34719e-76	98	31
SPAC3H8.07c	AT5G49510.2 	1.93724e-32	94	41
SPAC3H8.10	AT2G21540.3 	2.24827e-67	86	44
SPAC1F3.01	AT5G35910.1 	6.39312e-70	50	38
SPAC1F3.04c	AT5G10070.1 	5.26193e-49	58	42
SPAC1F3.05	AT1G76970.1 	2.94724e-14	60	25
SPAC1F3.09	AT5G56900.2 	1.50574e-43	97	29
SPAC1F3.10c	AT5G51540.1 	1.66087e-85	90	28
SPAC1D4.03c	AT2G28390.1 	1.06762e-31	78	26
SPAC1D4.05c	AT5G35730.1 	4.02231e-21	69	31
SPAC1D4.04	AT5G20890.1 	0.0	98	66
SPAC1D4.06c	AT1G76540.1 	1.19877e-29	91	30
SPAC1D4.08	AT1G68000.1 	8.69781e-39	69	40
SPAC1D4.09c	AT5G58020.1 	5.96459e-17	64	32
SPAC1D4.10	AT3G16260.1 	6.90018e-61	68	35
SPAC1D4.12	AT1G03190.2 	0.0	95	52
SPAC1D4.13	AT4G29810.1 	3.19927e-68	80	42
SPAC22F3.08c	AT3G09720.1 	3.06715e-118	79	47
SPAC22F3.06c	AT5G26860.1 	0.0	82	46
SPAC22F3.05c	AT2G18390.1 	1.65087e-54	94	50
SPAC22F3.03c	AT3G19210.1 	1.74976e-93	62	38
SPAC1296.01c	AT5G18070.1 	3.18664e-123	97	41
SPAC1296.02	AT1G80230.1 	4.1176e-08	62	34
SPAC1296.03c	AT5G22980.1 	1.39997e-20	85	24
SPAC1296.05c	AT2G26430.1 	3.77676e-26	80	31
SPAC1296.06	AT3G02280.1 	2.89279e-109	99	37
SPAC22G7.01c	AT3G05350.1 	0.0	98	48
SPAC22G7.07c	AT1G19340.1 	3.63645e-26	53	32
SPAC22G7.08	AT1G48260.1 	1.77733e-31	51	30
SPAC4G8.02c	AT5G50460.1 	4.5596e-17	97	44
SPAC4G8.05	AT5G58140.1 	9.44529e-99	65	44
SPAC4G8.08	AT1G07030.1 	4.71835e-20	97	28
SPAC4G8.09	AT4G04350.1 	0.0	96	40
SPAC16C9.03	AT2G03820.1 	5.41543e-138	98	42
SPAC16C9.06c	AT5G47010.1 	0.0	88	59
SPAC2G11.03c	AT1G77140.1 	6.6506e-118	98	38
SPAC2G11.06	AT2G27600.1 	3.14088e-142	98	52
SPAC2G11.07c	AT2G25070.1 	9.13512e-83	70	50
SPAC2G11.09	AT4G02900.1 	7.10297e-42	82	22
SPAC2G11.10c	AT5G55130.1 	1.76443e-94	96	42
SPAC2G11.11c	AT3G26560.1 	0.0	87	46
SPAC2G11.15c	AT1G30550.2 	2.13364e-50	85	42
SPAC521.03	AT5G65205.1 	1.38796e-18	72	35
SPAC521.05	AT5G59240.1 	5.99781e-77	96	62
SPAC23G3.01	AT4G21710.1 	0.0	100	63
SPAC23G3.06	AT3G05060.1 	1.49098e-155	82	57
SPAC23G3.10c	AT5G14170.1 	1.14983e-61	91	31
SPAC23G3.11	AT1G29150.1 	5.92468e-135	97	50
SPAC22H12.04c	AT4G34670.1 	8.83713e-104	88	63
SPAC1687.01	AT2G29540.2 	4.50611e-12	66	32
SPAC1687.03c	AT1G63160.1 	6.75194e-147	91	62
SPAC1687.04	AT2G40550.1 	2.97314e-23	53	28
SPAC1687.06c	AT2G19730.3 	4.99486e-16	91	35
SPAC1687.12c	AT2G03690.1 	5.05021e-45	77	37
SPAC1687.13c	AT1G71230.1 	8.60166e-81	81	47
SPAC1687.15	AT1G09840.6 	4.60792e-148	92	62
SPAC1687.16c	AT3G02590.1 	5.44482e-19	61	32
SPAC1687.17c	AT4G04860.1 	1.96241e-22	96	30
SPAC1687.21	AT3G50520.1 	4.656e-12	98	32
SPAC1687.22c	AT2G29140.1 	4.20335e-107	58	41
SPAC222.03c	AT2G29530.2 	1.8218e-16	71	45
SPAC222.04c	AT4G38495.1 	4.65731e-15	57	44
SPAC222.05c	AT1G78010.1 	3.46193e-41	95	29
SPAC222.06	AT1G23280.1 	3.25557e-75	62	56
SPAC222.08c	AT5G60540.1 	6.44594e-41	85	43
SPAC222.11	AT1G03475.1 	4.75803e-109	97	51
SPAC222.12c	AT5G08690.1 	0.0	89	76
SPAC222.13c	AT1G07110.1 	1.09119e-81	72	37
SPAC222.14c	AT5G45160.1 	1.40028e-78	99	31
SPAC222.15	AT1G13330.1 	9.97396e-21	94	32
SPAC222.18	AT1G34140.1 	1.61364e-08	85	28
SPAC821.04c	AT2G45620.1 	2.02162e-53	54	34
SPAC821.05	AT1G10840.1 	1.47069e-32	94	28
SPAC821.08c	AT4G33260.1 	1.23286e-109	79	47
SPAC821.09	AT5G15870.1 	1.00627e-32	61	27
SPAC821.10c	AT2G28190.1 	1.3884e-46	97	53
SPAC821.11	AT2G39800.2 	6.66918e-103	91	42
SPAC821.12	AT1G30640.1 	8.59979e-142	94	46
SPAC139.02c	AT2G22500.1 	1.3008e-36	91	33
SPAC139.05	AT1G79440.1 	2.32913e-144	96	45
SPAC139.06	AT5G56740.1 	1.90202e-22	75	31
SPAC23C4.03	AT1G09450.1 	1.9216e-38	58	35
SPAC23C4.06c	AT1G73320.1 	1.72699e-12	51	32
SPAC23C4.08	AT5G45970.1 	2.62048e-47	83	45
SPAC23C4.09c	AT1G29850.1 	7.23857e-16	61	46
SPAC23C4.12	AT3G23340.1 	3.74372e-153	73	67
SPAC23C4.14	AT1G16570.1 	1.56593e-88	93	44
SPAC23C4.15	AT3G22320.1 	4.57567e-58	96	44
SPAC23C4.17	AT2G22400.1 	4.32818e-116	96	39
SPAC23C4.18c	AT1G77320.1 	1.85541e-08	73	20
SPAC23C4.19	AT2G34210.1 	1.17207e-64	76	31
SPAC1A6.02	AT2G34260.1 	8.27074e-27	70	31
SPAC1A6.05c	AT3G57140.2 	6.07934e-63	97	35
SPAC1A6.10	AT5G37530.2 	2.34764e-72	74	40
SPAC30D11.13	AT3G57870.1 	4.59002e-60	97	61
SPAC30D11.12	AT3G59540.1 	2.54767e-22	94	55
SPAC30D11.11	AT5G20270.1 	7.32463e-27	59	32
SPAC30D11.07	AT2G31450.1 	3.67684e-70	65	49
SPAC30D11.06c	AT3G05940.1 	1.97677e-37	59	34
SPAC30D11.05	AT3G50860.1 	3.37777e-46	92	48
SPAC30D11.03	AT4G16630.1 	1.11538e-134	57	49
SPAC30D11.01c	AT1G68560.1 	4.29908e-136	79	33
SPAC56F8.03	AT1G76810.1 	0.0	56	60
SPAC56F8.04c	AT4G23660.2 	4.55954e-62	82	46
SPAC56F8.08	AT3G13235.3 	1.669e-63	78	42
SPAC56F8.09	AT5G40530.1 	1.03738e-62	74	42
SPAC56F8.10	AT3G59970.3 	4.88487e-169	96	45
SPAC56F8.11	AT3G05230.1 	1.01978e-15	92	30
SPAC22A12.01c	AT3G26680.3 	6.37037e-74	69	38
SPAC22A12.04c	AT2G39590.1 	1.24567e-68	100	70
SPAC22A12.05	AT4G07950.1 	3.19623e-21	99	40
SPAC22A12.08c	AT3G45740.1 	4.73761e-49	60	34
SPAC22A12.10	AT1G13560.1 	4.14641e-55	95	36
SPAC22A12.09c	AT1G14650.2 	3.92374e-40	53	40
SPAC22A12.11	AT3G17770.1 	2.22003e-70	97	35
SPAC22A12.12c	AT4G32175.1 	7.18566e-41	89	39
SPAC22A12.15c	AT5G28540.1 	0.0	96	63
SPAC22A12.17c	AT2G29370.1 	2.81014e-26	92	35
SPAC22A12.16	AT1G60810.1 	6.97051e-104	96	38
SPAC4C5.01	AT4G25840.1 	1.09274e-33	90	34
SPAC4C5.02c	AT2G44610.1 	7.43154e-105	96	74
SPAC4C5.04	AT5G50580.2 	1.1879e-28	100	28
SPAC10F6.02c	AT3G26560.1 	0.0	82	57
SPAC10F6.03c	AT1G30820.1 	0.0	88	57
SPAC10F6.04	AT3G53830.1 	5.12561e-12	54	32
SPAC10F6.05c	AT1G17280.2 	9.60408e-55	78	47
SPAC10F6.06	AT1G14340.1 	6.19043e-09	60	32
SPAC10F6.09c	AT2G27170.2 	0.0	99	39
SPAC10F6.10	AT2G24990.1 	4.3086e-100	63	48
SPAC10F6.12c	AT5G08335.1 	1.25732e-40	79	37
SPAC10F6.13c	AT5G19550.1 	1.48999e-121	99	42
SPAC10F6.14c	AT1G65950.1 	6.30967e-46	77	29
SPAC10F6.17c	AT4G38520.2 	1.01621e-17	73	29
SPAC56E4.02c	AT4G16710.2 	1.30702e-26	95	38
SPAC56E4.04c	AT1G36160.2 	0.0	98	40
SPAC56E4.06c	AT4G29210.1 	6.15977e-101	81	38
SPAC1420.02c	AT1G24510.1 	0.0	96	63
SPAC1420.03	AT5G09900.2 	6.14137e-92	93	39
SPAPB17E12.04c	AT2G26990.1 	3.9018e-132	93	46
SPAPB17E12.05	AT1G52300.1 	7.71844e-29	100	67
SPAPB17E12.07c	AT3G45590.2 	1.17509e-13	51	27
SPAPB17E12.12c	AT4G01100.1 	2.58234e-46	92	37
SPAPB17E12.13	AT3G05590.1 	2.50971e-73	100	60
SPAC1565.06c	AT5G54840.1 	2.32484e-59	92	49
SPAC1565.08	AT5G03340.1 	0.0	95	69
SPAC6F12.06	AT3G07880.1 	1.07682e-30	86	33
SPAC6F12.09	AT1G14790.1 	1.29682e-101	54	34
SPAC6F12.10c	AT1G74260.1 	0.0	94	37
SPAC6F12.11c	AT5G24450.1 	4.73762e-15	75	26
SPAC6F12.12	AT3G26020.2 	5.51458e-142	65	49
SPAC6F12.13c	AT4G17190.1 	9.66476e-101	89	49
SPAC6F12.14	AT3G48150.1 	6.91315e-116	91	43
SPAC6F12.15c	AT1G78770.1 	3.02867e-92	74	36
SPAC6F12.16c	AT1G59760.1 	0.0	84	52
SPAC6F12.17	AT1G17760.1 	7.20633e-87	84	29
SPAC57A10.03	AT2G36130.1 	1.04194e-64	96	65
SPAC57A10.07	AT1G21370.2 	2.02226e-57	77	45
SPAC57A10.09c	AT3G28730.1 	3.34413e-12	52	45
SPAC57A10.10c	AT4G32720.2 	4.57199e-14	57	36
SPAC57A10.12c	AT5G23300.1 	4.53388e-86	88	44
SPAC20G8.01	AT1G08130.1 	0.0	78	49
SPAC20G8.02	AT1G31480.1 	1.82792e-19	56	26
SPAC20G8.03	AT2G43330.1 	1.65102e-73	82	34
SPAC20G8.04c	AT2G43400.1 	0.0	91	51
SPAC20G8.08c	AT2G02090.1 	5.41199e-102	54	41
SPAC20G8.09c	AT1G10490.1 	0.0	97	49
SPAC20G8.10c	AT3G61710.1 	4.51125e-33	77	31
SPAC3A12.02	AT5G09650.1 	1.93899e-60	78	46
SPAC3A12.04c	AT5G59980.1 	7.08144e-28	65	37
SPAC3A12.05c	AT1G73960.2 	7.78707e-66	79	25
SPAC3A12.07	AT3G52090.1 	6.70579e-26	84	46
SPAC3A12.09c	AT2G35035.1 	1.79549e-29	91	32
SPAC3A12.10	AT1G29965.1 	4.62935e-54	98	49
SPAC3A12.12	AT2G34050.1 	9.01814e-11	62	26
SPAC3A12.14	AT5G21274.1 	1.09606e-76	96	74
SPAC3A12.15	AT1G50500.1 	4.76039e-63	84	28
SPAC3A12.16c	AT2G37410.2 	1.83626e-39	84	48
SPAC3A12.17c	AT1G55880.1 	7.77134e-111	86	54
SPAC3A12.18	AT3G27300.3 	4.55422e-144	94	47
SPAC9.03c	AT1G20960.2 	0.0	86	49
SPAC9.05	AT1G35530.2 	7.73797e-122	64	39
SPAC9.06c	AT5G53850.1 	1.90976e-22	96	35
SPAC9.07c	AT4G39520.1 	6.86142e-161	100	62
SPAC9.08c	AT2G38050.1 	1.04912e-16	70	31
SPAC9.09	AT5G17920.2 	0.0	99	48
SPAC9.10	AT2G01170.1 	3.45492e-33	83	28
SPAC9.12c	AT5G40660.1 	3.08868e-15	81	25
SPAC9.13c	AT1G17130.1 	2.52422e-56	82	44
SPAC5D6.06c	AT4G18230.1 	3.99214e-35	80	47
SPAC5D6.04	AT1G71090.1 	1.29517e-10	89	22
SPAC5D6.01	AT2G39590.1 	1.24567e-68	100	70
SPAC57A7.12	AT3G12580.1 	3.28109e-57	80	28
SPAC57A7.11	AT5G01770.1 	0.0	90	40
SPAC57A7.10c	AT4G34450.1 	0.0	99	43
SPAC57A7.09	AT1G35630.1 	6.8197e-16	60	26
SPAC57A7.08	AT3G46820.1 	1.40853e-144	57	63
SPAC57A7.07c	AT3G25900.1 	1.75489e-17	95	24
SPAC57A7.04c	AT1G49760.2 	1.89612e-137	57	55
SPAC167.07c	AT3G17205.2 	4.20658e-105	52	37
SPAC167.02	AT5G12210.1 	8.52175e-106	99	47
SPAC23H4.18c	AT5G20570.1 	3.25855e-56	85	83
SPAC23H4.17c	AT5G63610.1 	9.73852e-88	92	45
SPAC23H4.15	AT1G42440.1 	3.01876e-84	97	32
SPAC23H4.12	AT4G37280.1 	3.27881e-41	93	31
SPAC23H4.09	AT3G51800.1 	6.31609e-73	91	43
SPAC23H4.07c	AT5G05670.1 	6.75365e-07	58	32
SPAC23H4.06	AT5G16570.1 	2.81598e-124	92	56
SPAC23H4.04	AT1G51310.1 	1.99419e-46	96	29
SPAC23H4.03c	AT1G09580.1 	3.64874e-19	95	28
SPAP27G11.03	AT4G05440.1 	1.59718e-38	92	34
SPAP27G11.05c	AT1G08190.1 	9.82764e-119	87	31
SPAP27G11.06c	AT4G35410.2 	8.97955e-64	98	56
SPAP27G11.07c	AT5G26110.1 	1.09967e-52	94	41
SPAP27G11.13c	AT2G20490.1 	1.52821e-21	90	63
SPAC343.01c	AT1G31910.1 	1.10514e-33	100	34
SPAC343.03	AT3G05870.2 	8.59553e-32	86	59
SPAC343.04c	AT5G08560.2 	1.66608e-91	98	35
SPAC343.05	AT1G78900.2 	0.0	97	63
SPAC343.06c	AT2G04940.1 	5.64761e-38	73	34
SPAC343.09	AT4G22150.1 	6.21227e-27	70	35
SPAC343.10	AT3G59970.3 	2.66707e-124	98	36
SPAC343.13	AT1G48520.1 	1.15705e-70	96	31
SPAC343.14c	AT3G07300.2 	1.02977e-65	96	39
SPAC343.17c	AT2G20330.1 	4.70843e-64	86	35
SPAC343.15	AT2G27760.1 	1.15887e-44	58	36
SPAC343.16	AT4G13430.1 	8.25042e-42	56	30
SPAC824.04	AT5G14530.1 	1.44353e-43	97	31
SPAC824.05	AT2G38020.1 	3.11101e-106	98	31
SPAC824.07	AT3G10850.1 	3.11379e-54	93	41
SPAC824.08	AT3G04080.1 	6.23298e-49	74	35
SPAC664.02c	AT5G43500.2 	6.13313e-40	83	28
SPAC664.04c	AT2G09990.1 	2.05409e-72	99	69
SPAC664.05	AT3G49010.3 	1.43434e-51	83	56
SPAC664.06	AT2G01250.1 	2.25121e-68	96	51
SPAC664.07c	AT3G05480.3 	7.63327e-11	72	22
SPAC664.08c	AT5G61330.1 	1.0029e-18	56	30
SPAC664.09	AT4G29210.1 	1.58885e-111	76	39
SPAC664.10	AT4G27180.1 	8.3298e-120	59	47
SPAC664.11	AT5G09590.1 	0.0	87	62
SPAC664.12c	AT2G39725.2 	4.55958e-11	89	38
SPAC664.14	AT2G38290.1 	1.36353e-34	82	31
SPACUNK12.02c	AT2G41860.1 	6.83282e-64	89	38
SPAC105.01c	AT4G23700.1 	1.14297e-90	63	35
SPAC17A5.02c	AT4G31770.1 	3.62227e-83	50	50
SPAC17A5.03	AT1G43170.8 	1.84181e-172	99	64
SPAC17A5.06	AT5G41360.1 	0.0	89	56
SPAC17A5.08	AT3G22845.1 	3.54725e-12	93	26
SPAC17A5.11	AT5G02820.1 	9.84521e-34	74	36
SPAC17A5.13	AT3G07270.1 	1.69927e-30	74	38
SPAC17A5.15c	AT5G26710.1 	0.0	90	48
SPAC1610.02c	AT2G42710.1 	1.66221e-17	68	28
SPAC1002.03c	AT5G63840.1 	0.0	93	40
SPAC1002.04c	AT1G20000.1 	6.56057e-19	52	42
SPAC1002.05c	AT4G20400.2 	1.67571e-72	52	41
SPAC1002.07c	AT2G39020.1 	4.0775e-27	92	37
SPAC1002.09c	AT1G48030.2 	0.0	92	57
SPAC1002.11	AT5G19130.2 	2.67363e-25	79	29
SPAC1002.12c	AT1G79440.1 	6.81401e-144	94	49
SPAC1002.15c	AT3G21350.1 	5.01267e-21	79	32
SPAC1002.14	AT1G32340.1 	1.33276e-31	92	27
SPAC1002.17c	AT3G53900.1 	6.39578e-34	89	36
SPAC1399.04c	AT3G27440.1 	1.08672e-50	95	43
SPAC1399.03	AT5G03555.1 	9.06631e-57	74	32
SPAP11E10.01	AT5G52810.1 	3.16773e-43	96	35
SPAPB1A10.03	AT1G27970.1 	4.01169e-10	73	32
SPAPB1A10.04c	AT3G59380.1 	1.50555e-46	71	42
SPAPB1A10.06c	AT3G26560.1 	5.17138e-114	61	34
SPAPB1A10.07c	AT3G06170.1 	2.10717e-33	90	27
SPAPB1A10.10c	AT1G22740.1 	1.80466e-70	88	61
SPAPB1A10.11c	AT5G64050.1 	9.58388e-78	65	38
SPAPB1A10.12c	AT3G47930.2 	8.9529e-25	51	26
SPAC140.01	AT3G27380.2 	1.99293e-118	91	63
SPAC110.02	AT5G47690.1 	5.20245e-34	84	22
SPAC110.03	AT4G35020.3 	3.69246e-73	92	58
SPAC110.04c	AT1G11660.1 	5.03178e-151	90	39
SPAP14E8.03	AT5G50440.1 	2.18935e-09	63	29
SPAP14E8.04	AT5G51740.1 	1.56659e-26	54	41
SPAC3H1.05	AT4G01320.1 	1.81768e-91	88	39
SPAC3H1.07	AT4G08870.1 	1.69486e-09	56	28
SPAC3H1.08c	AT2G16460.1 	4.62924e-11	68	27
SPAC3H1.09c	AT3G11900.1 	1.01301e-26	61	28
SPAC3H1.10	AT1G03980.1 	1.3334e-70	62	42
SPAC3H1.13	AT5G08160.1 	7.68753e-39	91	33
SPAC3H1.14	AT2G37680.1 	6.20533e-16	90	31
SPAC9G1.03c	AT1G77940.1 	5.01376e-50	97	67
SPAC9G1.04	AT5G62050.1 	5.11172e-29	74	31
SPAC9G1.05	AT3G18060.1 	8.35078e-96	99	34
SPAC9G1.08c	AT5G20060.3 	1.82229e-07	59	28
SPAC9G1.15c	AT4G09550.1 	1.22931e-10	98	38
SPAC9G1.09	AT3G15220.1 	3.40966e-83	54	54
SPAC9G1.12	AT5G14600.1 	1.64313e-53	94	30
SPAC9G1.13c	AT2G47210.1 	3.38248e-39	57	37
SPAC767.01c	AT4G33650.1 	5.00054e-160	98	42
SPAC17H9.02	AT1G59760.1 	0.0	93	45
SPAC17H9.05	AT3G22660.1 	3.76385e-25	84	33
SPAC17H9.08	AT4G26180.1 	6.87362e-53	94	36
SPAC17H9.09c	AT4G35860.1 	8.34897e-25	64	37
SPAC17H9.10c	AT4G21100.1 	1.43493e-129	99	28
SPAC17H9.12c	AT5G20080.1 	2.79784e-11	82	30
SPAC17H9.14c	AT2G47470.1 	1.09368e-68	88	43
SPAC17H9.19c	AT3G27640.1 	1.45315e-33	68	33
SPAC607.03c	AT5G20160.1 	4.47956e-58	98	80
SPAC607.04	AT5G07370.4 	2.99197e-16	99	29
SPAC607.05	AT4G19006.1 	1.20933e-49	91	33
SPAC732.01	AT4G34720.1 	1.03149e-35	80	55
SPAC732.02c	AT1G07110.1 	2.30442e-80	92	38
SPAC3C7.01c	AT3G51830.1 	6.81361e-70	79	33
SPAC3C7.11c	AT5G07340.2 	2.10112e-100	82	42
SPAC3C7.13c	AT3G27300.3 	3.4469e-98	98	37
SPAC3C7.14c	AT4G27270.1 	1.59638e-44	71	54
SPAC25A8.03c	AT1G04900.1 	1.30921e-11	74	23
SPAC25A8.01c	AT2G02090.1 	2.42082e-97	65	35
SPAC631.01c	AT1G71790.1 	1.11541e-64	89	45
SPAC20H4.04	AT1G35530.2 	1.1533e-112	67	39
SPAC20H4.05c	AT5G53850.1 	1.00979e-37	93	40
SPAC20H4.07	AT5G57450.2 	1.93075e-29	79	32
SPAC20H4.09	AT4G18465.1 	6.13375e-175	95	43
SPAC20H4.10	AT5G15400.1 	3.46622e-93	91	30
SPAC20H4.11c	AT5G45970.1 	3.25312e-58	90	47
SPAC23C11.02c	AT5G02960.1 	2.28889e-71	100	72
SPAC23C11.05	AT5G09650.1 	6.35126e-69	83	44
SPAC23C11.08	AT4G14540.1 	1.26593e-41	74	70
SPAC23C11.09	AT1G50200.1 	0.0	95	49
SPAC23C11.11	AT3G50000.1 	3.30867e-159	98	69
SPAC23C11.17	AT1G65540.1 	1.23196e-49	61	43
SPAC13F5.01c	AT4G25540.1 	2.21032e-51	74	29
SPAC1783.01	AT4G30210.2 	1.84351e-31	71	25
SPAC1783.05	AT2G13370.1 	0.0	70	44
SPAC1783.06c	AT1G54210.1 	1.98186e-20	66	40
SPAC1783.08c	AT4G16720.1 	1.56154e-72	100	69
SPAC18G6.03	AT1G09630.1 	1.50439e-102	98	66
SPAC18G6.04c	AT4G37930.1 	0.0	93	63
SPAC18G6.05c	AT1G64790.1 	0.0	70	35
SPAC18G6.06	AT3G60360.1 	1.27956e-18	59	38
SPAC18G6.07c	AT3G57000.1 	1.36654e-60	58	50
SPAC18G6.14c	AT5G16130.1 	4.3316e-63	96	50
SPAC18G6.15	AT5G62500.1 	1.60583e-31	77	33
SPAC13D6.02c	AT4G36020.1 	2.7786e-25	87	48
